last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Henry, Payton,668721,2022,.187,.203,.279,.350,.016,79.5,-7.4,15,0,
Baddoo, Akil,668731,2022,.192,.270,.253,.278,.078,85,14.2,29.9,3.6,
Mitchell, Cal,668751,2022,.238,.358,.292,.297,.121,89.9,7.5,34,4.9,
Knizner, Andrew,668800,2022,.219,.306,.280,.305,.087,86,15.6,28.6,3.5,
Reynolds, Bryan,668804,2022,.249,.416,.329,.334,.167,90.2,12,35.5,7.9,
Capel, Conner,668843,2022,.282,.434,.336,.335,.152,87.6,7.9,34.1,6.8,
Vientos, Mark,668901,2022,.187,.329,.280,.286,.143,93.3,13.1,16.7,8.3,
Lewis, Royce,668904,2022,.274,.445,.319,.292,.172,90.7,19.4,31.4,5.7,
Rutschman, Adley,668939,2022,.248,.411,.342,.358,.163,87.9,15.6,35.6,7.9,
Rojas, Josh,668942,2022,.239,.361,.305,.324,.123,88.8,11.9,33.5,4.5,
Kreidler, Ryan,668952,2022,.211,.340,.273,.276,.130,88.2,14.8,34.5,7.3,
Mitchell, Garrett,669003,2022,.187,.339,.266,.260,.152,92.9,9.5,41.2,11.8,
Melendez Jr., MJ,669004,2022,.237,.410,.332,.334,.173,90.7,15.1,31,10.4,
Marsh, Brandon,669016,2022,.226,.372,.287,.279,.146,89.2,10.9,40.8,7.4,
Downs, Jeter,669023,2022,.137,.181,.153,.158,.044,82.9,19,26.3,0,
Stowers, Kyle,669065,2022,.266,.447,.335,.319,.181,91.1,16,38.7,11.3,
Huff, Sam,669087,2022,.226,.385,.294,.290,.159,88.9,9.7,35.4,10.1,
Langeliers, Shea,669127,2022,.200,.345,.261,.247,.144,87.3,16.9,42.9,9.9,
Campusano, Luis,669134,2022,.230,.355,.258,.241,.125,87.7,16.4,26.3,5.3,
Murphy, Sean,669221,2022,.255,.439,.344,.340,.184,88.7,11.5,34.7,10.5,
Senzel, Nick,669222,2022,.249,.355,.299,.313,.106,87.2,11.7,35,3.3,
Edman, Tommy,669242,2022,.258,.380,.308,.318,.122,88.6,8.7,31.6,6.2,
Solak, Nick,669256,2022,.242,.409,.335,.338,.168,86.7,5.7,28.1,7.8,
Smith, Will,669257,2022,.257,.473,.352,.341,.216,89.9,18.4,36.8,10.3,
Suwinski, Jack,669261,2022,.204,.393,.307,.300,.189,88.3,14.3,26.3,12.2,
Espinal, Santiago,669289,2022,.263,.348,.298,.319,.085,86.1,14.1,33.8,3.4,
Miranda, Jose,669304,2022,.253,.410,.317,.312,.157,89.3,13.8,34.2,6.2,
Thompson, Bubba,669352,2022,.171,.234,.203,.212,.064,84.8,5.3,21.6,1.7,
Gorman, Nolan,669357,2022,.239,.476,.341,.312,.237,89.2,20,46.7,14.4,
Hiura, Keston,669374,2022,.205,.425,.317,.297,.221,91.7,16.1,41.1,15.3,
Burger, Jake,669394,2022,.225,.460,.318,.281,.235,90.7,12.3,33.3,14.9,
Allen, Nick,669397,2022,.210,.266,.238,.259,.056,83.9,7.6,26,1.2,
Hummel, Cooper,669450,2022,.210,.332,.292,.307,.122,87.6,7.7,30.1,7.1,
Smith, Josh H.,669701,2022,.224,.313,.296,.330,.090,87,19.2,34.5,2.4,
Hays, Austin,669720,2022,.240,.372,.298,.298,.132,87.7,11.3,32.3,5.2,
Hall, Darick,669742,2022,.232,.462,.312,.264,.230,91.4,18.6,37,17.4,
Call, Alex,669743,2022,.212,.294,.281,.314,.082,86.3,18.4,29.8,1.2,
Toglia, Michael,669911,2022,.218,.305,.261,.276,.088,87.4,17,32.8,7.5,
Lopez, Nicky,670032,2022,.243,.312,.273,.296,.069,84.9,4.9,31.3,1.6,
Raley, Luke,670042,2022,.177,.296,.286,.298,.119,90.1,16.9,31.6,13.2,
Wallner, Matt,670242,2022,.175,.265,.245,.277,.090,87.5,12.9,21.9,9.4,
Stevenson, Cal,670276,2022,.208,.309,.277,.298,.102,87.6,10.6,32.5,5,
Rojas, Jose,670351,2022,.167,.231,.182,.182,.064,84.8,27.9,21.6,2.7,
Alvarez, Yordan,670541,2022,.329,.672,.462,.430,.343,95.2,12.3,40.7,21,
Paredes, Isaac,670623,2022,.210,.348,.297,.310,.138,87.4,15.8,27.4,6.4,
Brosseau, Mike,670712,2022,.213,.359,.300,.307,.146,89.1,14.6,34.4,8.6,
Walls, Taylor,670764,2022,.196,.304,.270,.290,.108,86.3,16.6,32.6,6.2,
Gonzalez, Luis,670768,2022,.215,.306,.268,.289,.091,86.9,10.9,27,2.9,
Friedl Jr., TJ,670770,2022,.215,.335,.283,.295,.119,87.2,19.8,30.9,4.7,
Soto, Livan,670869,2022,.279,.332,.281,.301,.053,83.8,19.8,40.9,0,
Kennedy, Buddy,671083,2022,.196,.280,.255,.275,.085,88.6,13,38.7,1.6,
Casas, Triston,671213,2022,.193,.356,.325,.354,.163,86,2.2,28.3,7.5,
Waters, Drew,671221,2022,.198,.379,.296,.287,.181,84.1,10.4,41.1,12.5,
Garcia, Luis,671277,2022,.260,.409,.305,.285,.149,87.3,5.5,37.4,7.5,
Freeman, Tyler,671289,2022,.229,.286,.270,.302,.057,85.9,10.3,28.4,1.5,
Harris II, Michael,671739,2022,.268,.460,.335,.312,.192,89.5,4.5,32.8,10.1,
Kelenic, Jarred,672284,2022,.174,.354,.271,.254,.179,86,18,27.2,13.6,
Arias, Gabriel,672356,2022,.197,.296,.290,.326,.099,88.8,-0.6,18.8,6.3,
Kirk, Alejandro,672386,2022,.278,.431,.351,.367,.153,90.5,8.1,32,6.7,
Diaz, Jordan,672478,2022,.208,.273,.229,.239,.064,86.9,-4.8,26.2,0,
Moreno, Gabriel,672515,2022,.280,.368,.305,.319,.088,89.2,5.9,29.5,3.3,
Perdomo, Geraldo,672695,2022,.213,.282,.269,.302,.069,85,12.1,28.1,2,
Peraza, Oswald,672724,2022,.276,.374,.343,.378,.097,81.6,5.4,25,5,
Marcano, Tucupita,672779,2022,.172,.239,.210,.224,.067,84.7,11.1,30.3,1.6,
